Crop (Nepali),Crop (English),Varieties,Spacing (cm),Seed Rate per Ropani,Suitable Intercrop,Crop Rotation Cycle,Crop Characteristics,Climate Adaptation Techniques
मूला,Radish,"Minowase, All Season White, Bhutane Rato, Tokinashi, Local Choto",20 × 20,500 gm,"Coriander, Garlic","Rotate with cole crops, legumes, and cereals every 3 years",Fast growing root crop,Proper spacing and thinning
खुर्सानी,Chili Pepper,"Jwala, NS 1701, Karma 747, Nepahot",50 × 30,30 gm or 4000 seedlings,Coriander,Rotate with cole crops every 2-3 years,"Wilting resistant, water tolerant, locally adapted","Virus control through pest management, net use in nursery"
आलु,Potato,"Kufri Jyoti, Janakdev, Khumal Laxmi, Local",70 × 25,100 kg,"Radish, Coriander, Greens, Carrot",Rotate with cole crops every 2-3 years,Janakdev: late blight resistant,"Deep plowing, irrigation for red ant control"
कागुनो,Foxtail Millet,"Bariyo Kaguno, Rato Kaguno",30 × 10,3 kg,Bean,Traditional grain,Drought tolerant,Low input crop
चिनो,Proso Millet,Dudhe Chino,25 × 10,500 gm,,Traditional grain,"Limited land use, drought tolerant",Low input crop
कोदो,Finger Millet,"Okhle 1, Dalle 1, Kabre Kodo 1, Sailung Kodo 1, Kabre Kodo 2",20 × 10,500 gm,"Maize, Bean",Traditional grain,"Limited land use, low irrigation requirement",Low input crop
उवा,Barley,Solu Uwa,20 × 5,1.5 kg,,Traditional grain,High altitude crop,Cold tolerant
फापर,Buckwheat,"Mithe Fapar 1, Tite Fapar 1, Tite Fapar 2",25 × 5,"3.5 kg (High hills), 2.5 kg (Mid hills)",,Traditional grain,"Drought tolerant, suitable from Terai to high hills",Quick growing
हरियो केराउ,Green Pea,"Sikkim Local, Sarlahi Arkul, Blue Line",60 × 60,2 kg,"Wheat, Barley, Barley",Rotate with cole crops and legumes,Cool season legume,Support structures needed
बोडी,Cowpea/Yardlong Bean,"Double Harvest, Malepatan 1, Yardlong Bean, Local (Makai Bodi), Khumal Tane",120 × 30,2 kg,"Latte, Maize, Kaguno, Chino, Millet","Rotate with cole crops, tomato, eggplant, legumes",Heat tolerant legume,Traps for aphids and fruit borer
गाजर,Carrot,"New Kuroda, Nantes, Kuroda Mark",30 × 10,300 gm,"Coriander, Garlic",Rotate with cole crops and legumes,Root vegetable,Proper soil preparation
बेसार,Turmeric,"Kapurkot Haledo 1, Kapurkot Haledo 2",30 × 25,225 kg,Maize,Rotate with cole crops every 2-3 years,"Limited land use possible, good yield with low irrigation",Mulching recommended
अदुवा,Ginger,"Kapurkot Aduwa 1, Kapurkot Aduwa 2",30 × 25,150 kg,"Maize, Lemon Grass",Rotate with cole crops every 2-3 years,Good yield with low irrigation,Mulching method (plastic or organic)
लौका,Bottle Gourd,"Pusa Purple Long, Sarlahi Green, Nukilo, NS 797, PPL 74, Local, Summer Prolific Long",200 × 200,100 gm or 125 seedlings,"Garlic, Onion, Coriander",Rotate with cole crops every 3 years,Warm season crop,"Tunnel for off-season, drip irrigation, mulching, traps for pests"
"घिरौला, चिचिन्डा","Sponge Gourd, Snake Gourd","Ghiraula: Kantipur, Saptari, Geeta, Blunarayan; Chichinda: Hariyali, Local",200 × 200,100 gm or 125 seedlings,"Garlic, Onion, Coriander",Rotate with cole crops every 3 years,Warm season cucurbits,"Tunnel for off-season, drip irrigation, mulching"
फर्सी (समर स्क्वास),Summer Squash,"Sunny House, Solo V, Long Green, Local",150 × 100,100 gm,Coriander,Rotate with cole crops,Summer vegetable,Regular harvesting needed
