क्षेत्र,बालीको नाम (अंग्रेजी),बालीको नाम (नेपाली),किसिम/प्रकार,जातहरू,दूरी (से.मी.),बीउ दर,अन्तरबाली,जलवायु अनुकूलन/उत्थानशीलता,रोप्ने महिना
मध्य पहाड,Broccoli,ब्रोकाउली,सामान्य,"एभरेष्ट ग्रीन, प्रिमियम क्रप",६०x४५,१० ग्राम,"धनियाँ, सिमी",तापक्रम नियन्त्रण,असार-असोज
मध्य पहाड,Tomato,गोलभेडा,मौसमी,"सृजना, सुरक्षा, मनिषा, भीएल ४४३",७५x४५,५-७ ग्राम,"मूला, चुकन्दर","टनेल, थोपा सिँचाइ, टुटा पासो",बाह्रै महिना
मध्य पहाड,Cucumber,काँक्रा,सामान्य,"भक्तपुर स्थानीय, डाइनास्टी, मालिनी",१५०x१००,१२५ ग्राम,"मकै, लसुन",टनेल/फल कुहाउने झिँगा पासो,चैत-भदौ
मध्य पहाड,Bitter Gourd,करेला,सामान्य,"पाली, एनएस ४५४, हीरा",१५०x१००,१०० ग्राम,"लसुन, प्याज",लाही नियन्त्रण,चैत-भदौ
मध्य पहाड,Summer Squash,फर्सी,सामान्य,"सनी हाउस, सोलो भी, स्थानीय",१५०x१००,१०० ग्राम,धनियाँ,नियमित कटानी,चैत-भदौ
मध्य पहाड,Bean,सिमी,सामान्य,"चौमासे, एलबी ३७, त्रिशूली ग्रीन",१२०x५०,५०० ग्राम,"केराउ, मकै",लाहीको लागि गहुँत प्रयोग,चैत-भदौ
मध्य पहाड,Green Pea,हरियो केराउ,सामान्य,"सिक्किम स्थानीय, सर्लाही अर्कुल",६०x६०,२ केजी,"गहुँ, जौ",सहारा दिने संरचना,कात्तिक-चैत
मध्य पहाड,Cowpea,बोडी,सामान्य,"मलेपाटन १, खुमल ताने",१२०x३०,२ केजी,"मकै, कोदो",फेरोमोन पासो,चैत-साउन
मध्य पहाड,Capsicum,भेडे खुर्सानी,सामान्य,क्यालिफोर्निया वन्डर,६०x४५,३० ग्राम,धनियाँ,भाइरस नियन्त्रण/नेट नर्सरी,चैत-साउन / असोज-कात्तिक
मध्य पहाड,Mustard Greens,रायो साग,सामान्य,"मनकामना रायो, ताङ्खुवा",४५x३०,१० ग्राम,लसुन,निरन्तर रोपण,बाह्रै महिना
मध्य पहाड,Okra,भिण्डी,सामान्य,"अर्का अनामिका, पार्वती",५०x३०,७५० ग्राम,"मकै, बोडी",गवारो पासो,चैत-भदौ
मध्य पहाड,Radish,मूला,४० दिने,चालीस दिने,२०x२०,५०० ग्राम,लसुन,छिटो बाली चक्र,बाह्रै महिना
मध्य पहाड,Radish,मूला,सामान्य,"मिन्वासे, टोकिनासी",२०x२०,५०० ग्राम,धनियाँ,जराको गुणस्तर/दूरी,बाह्रै महिना
मध्य पहाड,Carrot,गाजर,सामान्य,"न्यू कुरोडा, नान्तेस",३०x१०,३०० ग्राम,लसुन,माटोको तयारी,असोज-माघ
मध्य पहाड,Chili,खुर्सानी,सामान्य,"ज्वाला, एनएस १७०२, नेपा हट",५०x३०,३० ग्राम,धनियाँ,भाइरस नियन्त्रण/नेट नर्सरी,बाह्रै महिना
मध्य पहाड,Potato,आलु,सामान्य,"कार्डिनल, कुफ्री ज्योति, जनकदेव",७०x२५,१०० केजी,"मूला, सागसब्जी",गहिरो खनजोत,असोज-माघ
मध्य पहाड,Turmeric,बेसार,सामान्य,"कपुरकोट हलेदो १ र २",३०x२५,२२५ केजी,मकै,मल्चिङ/कम सिँचाइ,वैशाख
मध्य पहाड,Ginger,अदुवा,सामान्य,"कपुरकोट अदुवा १ र २",३०x२५,१५० केजी,"मकै, लेमनग्रास",जैविक/प्लास्टिक मल्चिङ,वैशाख
मध्य पहाड,Foxtail Millet,कागुनो,परम्परागत,"बरियो, रातो कागुनो",३०x१०,७५० ग्राम,सिमी,खडेरी उत्थानशील,वैशाख-साउन
मध्य पहाड,Proso Millet,चिनो,परम्परागत,दुधे चिनो,२५x१०,५०० ग्राम,छैन,सिमान्त भूमिको उपयोग,वैशाख-साउन
मध्य पहाड,Finger Millet,कोदो,परम्परागत,"ओख्ले १, डल्ले १, काब्रे १",२०x१०,५०० ग्राम,"मकै, सिमी",खडेरी सहन सक्ने,वैशाख-साउन
मध्य पहाड,Buckwheat,फापर,परम्परागत,"मिठे १, तिते १ र २",२५x५,२.५ केजी,छैन,छिटो बढ्ने,जेठ-साउन / कात्तिक-माघ
तराई,Cauliflower,काउली,अगेती,"सर्लाही दिपाली, सिल्भर कप ६०",४५x४५,३० ग्राम,"धनियाँ, लसुन","डीबीएम पानी पासो, टाँसिने पासो",असोज-मंसिर
तराई,Cauliflower,काउली,मौसमी,"प्रो क्राउन, काठमाडौं स्थानीय",६०x४५,२० ग्राम,"धनियाँ, लसुन",फोहोरमैला पानी सिँचाइ,कात्तिक-माघ
तराई,Cauliflower,काउली,पछौटे,"प्रोमिस्टिक, माधुरी, डोल्पा ग्लोबल",६०x४५,१५ ग्राम,"धनियाँ, लसुन",आईपीएम विधि,माघ-चैत
तराई,Cabbage,बन्दकोपी,अगेती,सुपर ग्रीन,६०x४५,२५ ग्राम,"धनियाँ, सिमी",उचित दूरी,असोज-कात्तिक
तराई,Cabbage,बन्दकोपी,मौसमी,"ग्रीन कोरोनेट, जेनिथ, गोल्डेन बल",६०x४५,२५ ग्राम,"धनियाँ, लसुन",आईपीएम विधि,कात्तिक-मंसिर
तराई,Cabbage,बन्दकोपी,पछौटे,कोपेनहेगन मार्केट,४५x३०,२५ ग्राम,प्याज,आईपीएम विधि,मंसिर-माघ
तराई,Broccoli,ब्रोकाउली,अगेती,ग्रीन स्प्राउटिङ,६०x४५,१० ग्राम,"धनियाँ, लसुन",तापक्रम नियन्त्रण,भदौ-असोज
तराई,Broccoli,ब्रोकाउली,मौसमी,"पिनाकल, कोमेट",६०x४५,१० ग्राम,"धनियाँ, लसुन",उच्च मूल्यको बाली,असोज-कात्तिक
तराई,Tomato,गोलभेडा,मौसमी,"सृजना, सम्झना, सुरक्षा",७५x४५,५-१० ग्राम,"लसुन, प्याज",फल कुहाउने गवारो पासो,वैशाख-जेठ
तराई,Tomato,गोलभेडा,हिउँदे,"नवीन, मनिषा, एनएस ५१५",७५x४५,५-१० ग्राम,लसुन,प्लास्टिक घर प्रविधि,भदौ-असोज
तराई,Bottle Gourd,लौका,सामान्य,"सर्लाही चिनी, एनएस ७१७, पूसा नवीन",१००x७५,१०० ग्राम,धनियाँ,फल कुहाउने झिँगा पासो,माघ-वैशाख / भदौ
तराई,Sponge Gourd,घिरौंला,सामान्य,"कान्तिपुरे, सेन्चुरी, राममणि",२००x२००,२०० ग्राम,लसुन,कीराको पासो,माघ-चैत
तराई,Chichinda,चिचिन्डा,सामान्य,"हरिताली, स्थानीय",१५०x१००,१०० ग्राम,लसुन,ठाडो सहारा,माघ-चैत
तराई,Cucumber,काँक्रा,सामान्य,"भक्तपुर स्थानीय, डाइनास्टी, मालिनी",१५०x१००,१२५ ग्राम,लसुन,थोपा सिँचाइ,माघ-चैत
तराई,Bitter Gourd,करेला,सामान्य,"पाली, एनएस ४५४, हीरा",२००x२००,२०० ग्राम,प्याज,गवारो नियन्त्रण,माघ-चैत
तराई,Summer Squash,फर्सी,सामान्य,सनी हाउस,१५०x१००,१०० ग्राम,धनियाँ,निरन्तर कटानी,माघ-चैत
तराई,Capsicum,भेडे खुर्सानी,सामान्य,क्यालिफोर्निया वन्डर,६०x४५,३० ग्राम,धनियाँ,भाइरसबाट सुरक्षा,भदौ-असोज
तराई,Mustard Greens,रायो साग,सामान्य,खुमल रातोपाते,३०x३०,१० ग्राम,लसुन,आईपीएम प्रविधि,कात्तिक-मंसिर
तराई,Okra,भिण्डी,सामान्य,"अर्का अनामिका, पार्वती, नामधारी",५०x३०,७५० ग्राम,मकै,गवारो पासो,फागुन-असार
तराई,Radish,मूला,विभिन्न,"मिन्वासे, ४० दिने, ह्वाइट नेक",२०x२०,५०० ग्राम,लसुन,कोसेबालीसँग चक्र,भदौ-मंसिर
तराई,Chili,खुर्सानी,सामान्य,"एनएस १७०१, मार्शल, कर्मा",७५x४५,३० ग्राम,धनियाँ,भाइरस नियन्त्रण,भदौ-असोज
तराई,Potato,आलु,सामान्य,"कुफ्री सिन्दुरी, कार्डिनल, डेजिरे",७०x२५,१०० केजी,"मूला, सागसब्जी",रातो कमिला नियन्त्रण,असोज-मंसिर
